id,title,release_date,overview,popularity,vote_average,vote_count,Adventure,Fantasy,Animation,Drama,Horror,Action,Comedy,History,Western,Thriller,Crime,Documentary,Science Fiction,Mystery,Music,Romance,Family,War,TV Movie
4348,pride  prejudice,-0.6855898961935348,a story of love and life among the landed english gentry during the georgian era mr bennet is a gentleman living in hertfordshire with his overbearing wife and five daughters but if he dies their house will be inherited by a distant cousin whom they have never met so the familys future happiness and security is dependent on the daughters making good marriages,-0.17839686069643276,0.8901984581618081,0.3067625605187296,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
96721,rush,-0.09356902919988257,in the 1970s a rivalry propels race car drivers niki lauda and james hunt to fame and glory  until a horrible accident threatens to end it all,-0.2748310188734406,0.6424366065283836,0.17779039673885672,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1426776,straw,0.7944622712905958,what will be her last straw a devastatingly bad day pushes a hardworking single mother to the breaking point  and into a shocking act of desperation,6.994618996174119,0.9134488372007219,-0.7671787263405965,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
972119,making of,0.7204596629163892,simon a wellknown french filmmaker starts shooting his next film a story about workers fighting to protect their factory from being relocated but nothing goes as planned his producer viviane wants to rewrite the ending and is threatening to cut the budget his own crew goes on strike his personal life is in shambles and to make things worse his lead actor alain is an egocentric jerk joseph an extra who wants to get into the film industry agrees to direct the making of and shoot the behindthescenes he takes his role very seriously and starts following around the crew capturing all this mess what follows is proof that the making of can sometimes be far better than the film itself,-0.15928081203385427,-0.8731974770708083,-0.8156810785313179,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11970,hercules,-1.277610763187187,bestowed with superhuman strength a young mortal named hercules sets out to prove himself a hero in the eyes of his father the great god zeus along with his friends pegasus a flying horse and phil a personal trainer hercules is tricked by the hilarious hotheaded villain hades whos plotting to take over mount olympus,-0.25468315641672284,0.4796839532559871,0.2133404162422832,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
76338,thor the dark world,-0.09356902919988257,thor fights to restore order across the cosmos but an ancient race led by the vengeful malekith returns to plunge the universe back into darkness faced with an enemy that even odin and asgard cannot withstand thor must embark on his most perilous and personal journey yet one that will reunite him with jane foster and force him to sacrifice everything to save us all,-0.2567855983170064,-0.23526520219061148,1.5955196629045747,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
774370,dog man,0.7944622712905958,when a faithful police dog and his human police officer owner are injured together on the job a harebrained but lifesaving surgery fuses the two of them together and dog man is born dog man is sworn to protect and serveand fetch sit and roll over as dog man embraces his new identity and strives to impress his chief he must stop the pretty evil plots of feline supervillain petey the cat,-0.08415732841072097,0.6874842159162786,-0.7990083949657574,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1477114,sorority,0.7944622712905958,a tale of seduction and mystery a fearless prelaw student joins an elite sorority led by a powerful heiress as secrets unfold shes torn between the woman who awakened her desire and a truth that could destroy them both,-0.10710952490981694,-4.969623633989429,-0.8341450421493767,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1208808,turno nocturno,0.7204596629163892,a young nurse with a domestic abuse past starts working the night shift at a small hospital where during the night the ghost of a nurse materializes,-0.2232856125304877,-0.3922052607032796,-0.8134764261590124,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257211,the intern,0.05443618754853048,70yearold widower ben whittaker has discovered that retirement isnt all its cracked up to be seizing an opportunity to get back in the game he becomes a senior intern at an online fashion site founded and run by jules ostin,-0.2704450016168489,0.27769628535542396,0.11578454876776398,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
