id,title,release_date,overview,popularity,vote_average,vote_count,Adventure,Fantasy,Animation,Drama,Horror,Action,Comedy,History,Western,Thriller,Crime,Documentary,Science Fiction,Mystery,Music,Romance,Family,War,TV Movie
574475,final destination bloodlines,2025,plagued by a violent recurring nightmare college student stefanie heads home to track down the one person who might be able to break the cycle and save her family from the grisly demise that inevitably awaits them all,1160.8402,7.184,850,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1087891,the amateur,2025,after his life is turned upside down when his wife is killed in a london terrorist attack a brilliant but introverted cia decoder takes matters into his own hands when his supervisors refuse to take action,493.4736,6.907,524,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1426776,straw,2025,what will be her last straw a devastatingly bad day pushes a hardworking single mother to the breaking point  and into a shocking act of desperation,458.5632,8.097,486,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
552524,lilo  stitch,2025,the wildly funny and touching story of a lonely hawaiian girl and the fugitive alien who helps to mend her broken family,411.1899,7.1,651,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
870028,the accountant,2025,when an old acquaintance is murdered wolff is compelled to solve the case realizing more extreme measures are necessary wolff recruits his estranged and highly lethal brother brax to help in partnership with marybeth medina they uncover a deadly conspiracy becoming targets of a ruthless network of killers who will stop at nothing to keep their secrets buried,310.9376,7.22,821,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
1376434,predator killer of killers,2025,while three of the fiercest warriors in human historya viking raider a ninja in feudal japan and a wwii pilotare killers in their own right they are merely prey for their new opponent the ultimate killer of killers,369.2901,7.988,531,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1087192,how to train your dragon,2025,on the rugged isle of berk where vikings and dragons have been bitter enemies for generations hiccup stands apart defying centuries of tradition when he befriends toothless a feared night fury dragon their unlikely bond reveals the true nature of dragons challenging the very foundations of viking society,335.7287,8.0,262,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1379587,utopia,2024,a soldier searching for his missing wife breaks into a hightech facility believing shes been caught in a human trafficking ring but beyond its walls he finds a surreal futuristic fantasy park where reality and illusion blur as he navigates this seductive and dangerous world a shocking truth pulls him deeper into a deadly game where nothing is as it seems,299.3717,5.136,33,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
1240475,hunt the wicked,2024,the film tells the story of narcotics police officer huang mingjin and the mysterious figure wei yunzhou through completely different means and methods in the process of calculating and wrestling with each other they tear apart the facade of urban tranquility exposing the underground drug network woven by the hidden hand long wang and ultimately eradicate the darkness with the sword of justice revealing the dawn of light,284.9678,4.8,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1239193,deep cover,2025,kat is an improv comedy teacher beginning to question if shes missed her shot at success when an undercover cop offers her the role of a lifetime she recruits two of her students to infiltrate londons gangland by impersonating dangerous criminals,276.3244,6.8,122,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
1315988,mikaela,2025,during the eve of the 6th of january a recordbreaking snowstorm sweeps across spain in the midst of its chaos a group of robbers seizes the opportunity to hijack an armoured van a few meters away is leo a finished policeman who has nothing to lose with the unexpected aid of a young woman he will try to stop the band from running away with their loot,202.1852,6.25,48,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1450599,ko,2025,a former fighter must find the missing son of an opponent he accidentally killed years ago taking on a brutally violent crime gang in marseille,197.0575,6.66,119,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1289601,life after fighting,2024,retired martial arts world champion alex faulkner has settled into a simple life when the disappearance of two of his students leads to an unthinkable discovery close to home just when all hope of finding the children is lost he locates the imprisoned girls and unsurfaces an international child trafficking operation which draws him back into the fight of his life against those behind it,233.114,6.944,36,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1233413,sinners,2025,trying to leave their troubled lives behind twin brothers return to their hometown to start again only to discover that an even greater evil is waiting to welcome them back,223.5231,7.569,1514,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1017163,the roundup punishment,2024,monster cop ma seokdo investigates an illegal online gambling business led by a former sts baek and an it genius ceo chang ma proposes an unexpected alliance to jang and begins hunting down the criminals,221.2391,6.831,139,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
1225916,3o an endless story,2023,this movie is a gift for the 2023 esca high school thirdyear students despite a challenging year we know it wasnt all about studying and sadness,187.5426,8.375,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
950387,a minecraft movie,2025,four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the overworld a bizarre cubic wonderland that thrives on imagination to get back home theyll have to master this world while embarking on a magical quest with an unexpected expert crafter steve,183.0392,6.5,1801,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
666154,kayara,2025,a courageous and athletic teenager kayara dreams that she is destined to be the first female to break into the league of chasquis  the official messengers of the incan empire as she learns what it takes to be a chasqui along with its challenges she tackles every mission she gets and discovers the ancient stories of her land and her people,186.4767,7.6,46,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
541671,ballerina,2025,taking place during the events of john wick chapter 3  parabellum eve macarro begins her training in the assassin traditions of the ruska roma,153.7941,7.083,309,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
575265,mission impossible  the final reckoning,2025,ethan hunt and team continue their search for the terrifying ai known as the entity  which has infiltrated intelligence networks all over the globe  with the worlds governments and a mysterious ghost from hunts past on their trail joined by new allies and armed with the means to shut the entity down for good hunt is in a race against time to prevent the world as we know it from changing forever,127.6214,7.155,793,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
447273,snow white,2025,following the benevolent kings disappearance the evil queen dominated the once fair land with a cruel streak princess snow white flees the castle when the queen in her jealousy over snow whites inner beauty tries to kill her deep into the dark woods she stumbles upon seven magical dwarves and a young bandit named jonathan together they strive to survive the queens relentless pursuit and aspire to take back the kingdom,117.9741,4.277,1128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
757725,shadow force,2025,kyrah and isaac were once the leaders of a multinational special forces group called shadow force they broke the rules by falling in love and in order to protect their son they go underground with a large bounty on their heads and the vengeful shadow force hot on their trail one familys fight becomes allout war,107.2776,6.37,77,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1284120,the ugly stepsister,2025,in a fairytale kingdom where beauty is a brutal business elvira battles to compete with her incredibly beautiful stepsister and she will go to any length to catch the princes eye,119.6417,7.103,179,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1097311,echo valley,2025,kate lives a secluded lifeuntil her troubled daughter shows up frightened and covered in someone elses blood as kate unravels the shocking truth she learns just how far a mother will go to try to save her child,122.2015,6.566,91,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1225915,jewel thief  the heist begins,2025,in this highoctane battle of wits and wills ingenious con artist rehan devises a diamond heist while trying to outsmart rajan his sadistic adversary,103.9181,6.669,62,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1241436,warfare,2025,a platoon of navy seals embarks on a dangerous mission in ramadi iraq with the chaos and brotherhood of war retold through their memories of the event,93.9943,7.2,571,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1241982,moana 2,2024,after receiving an unexpected call from her wayfinding ancestors moana journeys alongside maui and a new crew to the far seas of oceania and into dangerous longlost waters for an adventure unlike anything shes ever faced,90.541,7.1,2473,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1199974,prvulos children of the apocalypse,2024,in a dystopian future ravaged by a viral apocalypse three young brotherssalvador oliver and benjaminfind themselves isolated in a remote cabin deep within the woods as they navigate this desolate world they harbor a dark and disturbing secret in their basement a presence they must feed to ensure their own survival,82.6275,6.929,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1403735,laila,2025,sonu model a renowned beautician from the old city is forced to disguise himself as laila leading to a series of comedic romantic and actionpacked events chaos ensues in this hilarious laugh riot,87.557,4.75,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1232933,fear below,2025,a ragtag team of divers attempting to salvage a sunken car from a river are thwarted by a highly aggressive bull shark,78.8801,6.728,57,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
986056,thunderbolts,2025,after finding themselves ensnared in a death trap seven disillusioned castoffs must embark on a dangerous mission that will force them to confront the darkest corners of their pasts,86.1811,7.401,1135,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
10191,how to train your dragon,2010,as the son of a viking leader on the cusp of manhood shy hiccup horrendous haddock iii faces a rite of passage he must kill a dragon to prove his warrior mettle but after downing a feared dragon he realizes that he no longer wants to destroy it and instead befriends the beast  which he names toothless  much to the chagrin of his warrior father,89.634,7.845,13489,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1411773,the last stand of ellen cole,2024,when an evil contractor goes to extreme measures to evict a testy tenant who is standing in the way of his new project he fails to take into account that this seemingly harmless old woman is a trained killer and will do anything to protect her beloved home,77.0686,8.119,21,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56379,beach house,1977,summer sunday at a small beach house at the coast of rome many people and stories womens basketball team two sportsobsessed soldiers two men with their girlfriends and the priest with a big secret an elderly couple with their pregnant granddaughter and engagemented couple wanting to have sex for the first time,49.1376,6.5,64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
822119,captain america brave new world,2025,after meeting with newly elected us president thaddeus ross sam finds himself in the middle of an international incident he must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red,75.1426,6.07,2180,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
1257960,sikandar,2025,a tragic accident pushes the powerful sikandar to protect the less fortunate by standing up to corruption and greed  using any means necessary,67.8184,5.0,50,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1232546,until dawn,2025,one year after her sister melanie mysteriously disappeared clover and her friends head into the remote valley where she vanished in search of answers exploring an abandoned visitor center they find themselves stalked by a masked killer and horrifically murdered one by oneonly to wake up and find themselves back at the beginning of the same evening,72.9629,6.6,681,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
324544,in the lost lands,2025,a queen sends the powerful and feared sorceress gray alys to the ghostly wilderness of the lost lands in search of a magical power where she and her guide the drifter boyce must outwit and outfight both man and demon,68.5859,6.489,482,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1011477,karate kid legends,2025,after a family tragedy kung fu prodigy li fong is uprooted from his home in beijing and forced to move to new york city with his mother when a new friend needs his help li enters a karate competition  but his skills alone arent enough lis kung fu teacher mr han enlists original karate kid daniel larusso for help and li learns a new way to fight merging their two styles into one for the ultimate martial arts showdown,69.3534,6.935,139,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
